"Ontology","SIZE (KB)","SOV","ENR","TIP","EOG","RCH","CYC","GCI","HGCI","ESUB","DSUB","CSUB","SUPECHN","SUBECHN","SUBCCHN","SUPDCHN","DSUPECHN","DSUBECHN","DSUBCCHN","DSUPDCHN","ELCLSPRT","ELAXPRT","HLC","RHLC","IHR","IIR","ITR","IND","aNOC","mNOC","tNOC","aCID","mCID","tCID","aCOD","mCOD","tCOD","aDIT","mDIT","tDIT","aNOP","mNOP","tNOP","ENUM","ENUMP","NEG","NEGP","CONJ","CONJP","DISJ","DISJP","UF","UFP","EF","EFP","VALUE","VALUEP","SELF","SELFP","MNCAR","MNCARP","MXCAR","MXCARP","CAR","CARP","OBP","OBPP","DTP","DTPP","FUN","FUNP","SYM","SYMP","TRN","TRNP","IFUN","IFUNP","ASYM","ASYMP","REFLE","REFLEP","IRREF","IRREFP","SUBP","EQVP","DISP","INV","DOMN","RANG","CHN","CHNP","ELPROP"
"approximated_131ebd63-ee85-43a3-aed7-f88164a47e60_nAtmoCloud.owl_functional.owl","1135.0","4621","1.3910679611650485","919","2.3973827582498397","0.14813761728746092","2546","134","0","0.10207745575788664","0.0","0.0","261","345","0","0","3","3","0","0","0.9613196814562003","0.9446011797896897","143","0.023722627737226276","238","0","0","1152","1.1086152971282344","57","3899","1.577765140744953","89","5549","1.4253625248791584","9","5013","0.0","0","0","1.261017912994029","9","4435","136","0.2610","0","0.0000","57","0.1094","0","0.0000","0","0.0000","328","0.6296","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","481","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","413","0","0","0","0","0","8","0.016632016632016633","1.0"
"approximated_5b493be1-de5f-4bf8-b766-24079ab81854_cryo.owl_functional.owl","622.0","2410","1.4387527839643652","694","2.5138015615361073","0.11732316814908937","1778","113","0","0.0647846543612016","0.0","0.0","43","58","0","0","3","3","0","0","0.972457627118644","0.9677886355410785","11","0.003401360544217687","12","0","0","152","1.1702668360864041","67","2763","1.3549343498517576","67","3199","1.4392206692079628","11","3398","0.0","0","0","1.2935196950444727","11","3054","65","0.2347","0","0.0000","67","0.2419","0","0.0000","0","0.0000","145","0.5235","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","181","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","136","0","0","0","0","0","7","0.03867403314917127","1.0"
"approximated_debc1f89-53f3-48f7-a8fc-38db277e47ce_rDataModel.owl_functional.owl","1189.0","4675","1.4308224442736357","926","2.463822130057172","0.14606111578357162","2786","133","0","0.1006066734074823","0.0","0.0","261","345","0","0","3","3","0","0","0.9618620302860348","0.9453993933265925","143","0.02266244057052298","458","0","0","1152","1.1090552284833193","57","3956","1.5716288197364732","89","5606","1.4213624894869639","9","5070","0.0","0","0","1.2593215587328288","9","4492","136","0.2610","0","0.0000","57","0.1094","0","0.0000","0","0.0000","328","0.6296","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","485","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","417","0","0","0","0","0","8","0.016494845360824743","1.0"
"approximated_ac1fae27-a56b-4713-b1f8-6dcdde27aae8_oordinates.owl_functional.owl","584.0","2251","1.4362549800796813","631","2.5093214204688636","0.1154903758020165","1653","106","0","0.06281900274833137","0.0","0.0","12","22","0","0","3","3","0","0","0.9724896836313618","0.9678052610914801","6","0.0019880715705765406","5","0","0","150","1.1672777268560954","63","2547","1.3551787351054079","63","2957","1.4330889092575618","11","3127","0.0","0","0","1.2887259395050412","11","2812","60","0.2381","0","0.0000","63","0.2500","0","0.0000","0","0.0000","129","0.5119","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","178","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","135","0","0","0","0","0","7","0.03932584269662921","1.0"
"00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl","28.0","190","0.9526315789473684","0","1.2686121281523697","0.0","0","0","0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1.0","0","0.0","0","0","0","56","0.7586206896551724","17","22","2.6551724137931036","31","77","0.9655172413793104","1","28","0.0","0","0","0.9655172413793104","1","28","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","7","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0","0","0","0","0","0","0.0","0.0"
"approximated_50261e1a-1d2d-4997-9d9e-4f40bf0e34ad_etourism.owl_functional.owl","88.0","282","1.7636887608069165","64","2.427703662551669","0.7558139534883721","271","64","0","0.8783783783783784","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1.0","0","0.0","0","0","0","172","0.8604651162790697","16","74","3.616279069767442","64","311","2.488372093023256","3","214","0.0","0","0","1.7325581395348837","2","149","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","65","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","89","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","18","0","0","0","0","0","0","0.0","1.0"
"approximated_7407e96a-be14-487c-a01a-3594df24e36c_yDocumentation_functional.owl","23.0","123","1.4557823129251701","24","1.6344229895896036","0.6486486486486487","67","24","0","0.8","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1.0","0","0.0","18","0","0","83","0.8108108108108109","18","30","3.4324324324324325","35","127","2.324324324324324","3","86","0.0","0","0","1.6216216216216217","2","60","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","24","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","27","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","19","0","0","0","0","0","0","0.0","1.0"
"approximated_3ba51b84-d0d8-47b2-bb62-196c226ad31e_scillation.owl_functional.owl","576.0","2209","1.4471873735329825","638","2.517574003996892","0.1189920671955203","1667","106","0","0.06451612903225806","0.0","0.0","16","28","0","0","3","3","0","0","0.9715219421101774","0.9669454400637196","8","0.0026827632461435278","7","0","0","150","1.1717218852076527","63","2511","1.3639757349510033","63","2923","1.4456369575361643","11","3098","0.0","0","0","1.297246850209986","11","2780","61","0.2392","0","0.0000","63","0.2471","0","0.0000","0","0.0000","131","0.5137","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","178","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","135","0","0","0","0","0","7","0.03932584269662921","1.0"
"approximated_5da8b418-594a-4c3d-ba17-02fc8e72d100_DP1.66.owl_functional.owl","146.0","1208","1.1630794701986755","0","1.2401968410392301","0.0","197","0","0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1.0","0","0.0","0","0","0","1127","0.08108108108108109","2","6","18.027027027027028","205","1334","1.0405405405405406","2","77","0.0","0","0","0.9864864864864865","1","73","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","7","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","4","0","0","0","0","0","0","0.0","1.0"
"approximated_f1395437-68d1-4c5a-8615-b7714be541fb_reprSciLaw.owl_functional.owl","1209.0","5028","1.3698851399856424","1102","2.3730084890756498","0.13184931506849315","2649","124","0","0.09337088388214905","0.0","0.0","293","407","0","0","5","5","0","0","0.9645216540249572","0.94605719237435","97","0.015062111801242235","100","0","0","1226","1.1291585127201567","63","4616","1.5596868884540118","88","6376","1.4165851272015655","9","5791","0.0","0","0","1.2693248532289627","9","5189","145","0.2690","0","0.0000","63","0.1169","0","0.0000","0","0.0000","331","0.6141","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","258","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","212","0","0","0","0","0","5","0.01937984496124031","1.0"
