ontFilename;#Axioms;#LogicalAxioms;#TBoxAxioms;#ABoxAxioms;Ratio
/home/ktgroup/Desktop/isa/Datasets/356/approximated_07e27833-0331-44b7-ade8-e93de5c1ee2b_computers.owl_functional.owl_1_506_2436.owl;5049;2522;82.0;2436;29.70731707317073
/home/ktgroup/Desktop/isa/Datasets/356/approximated_bf02bcd2-a1d7-4461-b3a3-45a0d6c704af_pingdb2owl.owl_functional.owl_1_6_593.owl;981;711;112.0;593;5.294642857142857
/home/ktgroup/Desktop/isa/Datasets/356/738a62ec-d995-4d8b-badd-7e8ed6b818a2__documentation_functional.owl_1_238_957.owl;1865;1024;48.0;957;19.9375
/home/ktgroup/Desktop/isa/Datasets/356/approximated_12ef49dc-1f5f-4768-9442-7f738f366765_TRAIL.owl_functional.owl_1_184_2166.owl;3137;2273;101.0;2166;21.445544554455445
/home/ktgroup/Desktop/isa/Datasets/356/approximated_obsolete_RMOperators_addonsRM.owl_functional.owl_1_155_9102.owl;15553;10770;1541.0;9102;5.90655418559377
/home/ktgroup/Desktop/isa/Datasets/356/approximated_eba921b0-589b-4d65-9f4b-30414792fc23_esg.owl_functional.owl_1_133_1285.owl;2630;1333;44.0;1285;29.204545454545453
/home/ktgroup/Desktop/isa/Datasets/356/00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl;210;175;22.0;153;6.954545454545454
/home/ktgroup/Desktop/isa/Datasets/356/dde3b23b-5c7d-4490-8f3f-22c73405841f_onto.rdf_functional.owl_1_1_118.owl;228;140;22.0;118;5.363636363636363
/home/ktgroup/Desktop/isa/Datasets/356/approximated_00032029-378f-4e16-83de-4c46f097ff97_BCR.owl_functional.owl_1_654_2471.owl;4445;2577;100.0;2471;24.71
/home/ktgroup/Desktop/isa/Datasets/356/approximated_50261e1a-1d2d-4997-9d9e-4f40bf0e34ad_etourism.owl_functional.owl;580;472;74.0;380;5.135135135135135
/home/ktgroup/Desktop/isa/Datasets/356/approximated_f48c03dc-0ce0-44e3-a137-efb086711675_properties.owl_functional.owl_1_2_92.owl;242;117;18.0;92;5.111111111111111
/home/ktgroup/Desktop/isa/Datasets/356/e5a89a48-7c48-48ab-8e64-bfdfb3e62e8b_tegorySMW_site_functional.owl_1_24_392.owl;694;446;35.0;392;11.2
/home/ktgroup/Desktop/isa/Datasets/356/approximated_5da8b418-594a-4c3d-ba17-02fc8e72d100_DP1.66.owl_functional.owl;1418;1338;6.0;1328;221.33333333333334
/home/ktgroup/Desktop/isa/Datasets/356/42b54620-6ea6-4751-9938-5c4090770371_ifiedBases.owl_functional.owl_1_2_285.owl;546;340;54.0;285;5.277777777777778
/home/ktgroup/Desktop/isa/Datasets/356/5853f952-6e48-489d-b379-41d059f14f83_difications.n3_functional.owl_1_121_1225.owl;1768;1275;50.0;1225;24.5
/home/ktgroup/Desktop/isa/Datasets/356/96ea97d4-1aa6-40c8-be57-272051b9db05_onto.rdf_functional.owl_1_1_117.owl;228;139;22.0;117;5.318181818181818
/home/ktgroup/Desktop/isa/Datasets/356/approximated_483bced0-f4b7-4dda-9146-dc885622e47e_closureids.owl_functional.owl;35944;35925;15.0;35910;2394.0
/home/ktgroup/Desktop/isa/Datasets/356/approximated_6889341f-923d-4952-8f99-169cd957a495_RAMrdf.owl_functional.owl_1_220_1943.owl;2878;1978;35.0;1943;55.51428571428571
/home/ktgroup/Desktop/isa/Datasets/356/c669669d-7a04-410c-9474-1f6e46230556_BioLinks.owl_functional.owl_1_179_660.owl;1363;755;95.0;660;6.947368421052632
/home/ktgroup/Desktop/isa/Datasets/356/636b2d5e-c136-4af2-84d6-f0ccabe86bd2_EbGdrcN5Y29ycA_functional.owl_1_6_76.owl;171;85;9.0;76;8.444444444444445
/home/ktgroup/Desktop/isa/Datasets/356/approximated_a9a11f8b-fab9-4901-99b0-9d9570eacf34_ctryflat.owl_functional.owl;5678;5584;89.0;5482;61.59550561797753
/home/ktgroup/Desktop/isa/Datasets/356/approximated_483bced0-f4b7-4dda-9146-dc885622e47e_closureids.owl_functional.owl_1_3583_28744.owl;34794;28759;15.0;28744;1916.2666666666667
/home/ktgroup/Desktop/isa/Datasets/356/efd20f6c-bf75-4329-ae3d-46719338ee19__v2.0_Lite.rdf_functional.owl;2758;2725;36.0;2685;74.58333333333333
/home/ktgroup/Desktop/isa/Datasets/356/approximated_c9cd7334-1c49-4909-8c82-c8f9727064c5_icrosswalk.owl_functional.owl_1_1_146.owl;346;178;28.0;146;5.214285714285714
/home/ktgroup/Desktop/isa/Datasets/356/approximated_b4884d02-8b09-4c5c-928b-4712d54dd237_newsiso8851.owl_functional.owl_1_43_987.owl;1674;1218;171.0;987;5.771929824561403
/home/ktgroup/Desktop/isa/Datasets/356/approximated_07e27833-0331-44b7-ade8-e93de5c1ee2b_computers.owl_functional.owl_1_506_3448.owl;7073;3534;82.0;3448;42.048780487804876
/home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_932.owl;1903;1114;167.0;932;5.580838323353293
/home/ktgroup/Desktop/isa/Datasets/356/approximated_ab8734cc-3503-4967-8af0-7feda2265c1f_question.owl_functional.owl_1_116_1197.owl;2512;1250;53.0;1197;22.58490566037736
/home/ktgroup/Desktop/isa/Datasets/356/approximated_fbe45489-fdb8-4e39-8e37-c91436798253_DP1.24.owl_functional.owl_1_74_92.owl;241;96;3.0;92;30.666666666666668
/home/ktgroup/Desktop/isa/Datasets/356/1e91ca85-e1e5-4dd9-9bf8-5ec9b2c95223_cheeses0.1.ttl_functional.owl_1_111_686.owl;1321;689;3.0;686;228.66666666666666
/home/ktgroup/Desktop/isa/Datasets/356/approximated_81b5b937-87af-4fda-8819-ad33ca776308_pulsall.owl_functional.owl_1_274_12748.owl;25709;15077;2329.0;12748;5.473593817088879
/home/ktgroup/Desktop/isa/Datasets/356/ab726941-765f-4e5e-b6c9-2d51b652e841_00Ontology.owl_functional.owl_1_2386_7312.owl;12670;7342;30.0;7312;243.73333333333332
/home/ktgroup/Desktop/isa/Datasets/356/approximated_e832f5d2-5523-486a-ba06-ea4b1726d2a9_toplankton.owl_functional.owl;642;621;17.0;604;35.529411764705884
/home/ktgroup/Desktop/isa/Datasets/356/approximated_570d94a7-ca42-4f6d-a22d-1e7bf90e34cc_ll030210RL.owl_functional.owl_1_251_1946.owl;3495;2157;137.0;1946;14.204379562043796
/home/ktgroup/Desktop/isa/Datasets/356/approximated_USDA_sr25_NF0_20.owl_functional.owl_1_847_4365.owl;8622;4390;25.0;4365;174.6
/home/ktgroup/Desktop/isa/Datasets/356/approximated_6a7bc509-ae87-4a44-bcf9-6abbcce71d34_a_20110127.owl_functional.owl_1_144_1064.owl;1993;1172;97.0;1064;10.969072164948454
/home/ktgroup/Desktop/isa/Datasets/356/5385c20a-b696-43db-b6dd-3c548f7ae2ba_onto.rdf_functional.owl_1_1_115.owl;227;137;22.0;115;5.2272727272727275
/home/ktgroup/Desktop/isa/Datasets/356/42b54620-6ea6-4751-9938-5c4090770371_ifiedBases.owl_functional.owl;397;346;54.0;291;5.388888888888889
/home/ktgroup/Desktop/isa/Datasets/356/approximated_644356e7-d943-407a-8f82-dc36816cd023_DP1.26.owl_functional.owl_1_75_542.owl;1079;546;3.0;542;180.66666666666666
/home/ktgroup/Desktop/isa/Datasets/356/approximated_b029d4e0-be47-42f6-8112-0803844138ec_universe.owl_functional.owl_1_68_1266.owl;2181;1490;185.0;1266;6.8432432432432435
/home/ktgroup/Desktop/isa/Datasets/356/approximated_e35b3542-7a59-4ca0-9e1d-b6551f86036b_Countries.owl_functional.owl;840;808;31.0;777;25.06451612903226
/home/ktgroup/Desktop/isa/Datasets/356/42b54620-6ea6-4751-9938-5c4090770371_ifiedBases.owl_functional.owl_1_2_273.owl;532;328;54.0;273;5.055555555555555
/home/ktgroup/Desktop/isa/Datasets/356/approximated_0720cdef-dd38-4518-a0a0-9c0d83f4a33b_laptopsfull.owl_functional.owl_1_508_392.owl;947;471;77.0;392;5.090909090909091
/home/ktgroup/Desktop/isa/Datasets/356/approximated_58454d3b-5616-4c00-9752-eb280af7fbf5_a_slovakia.owl_functional.owl_1_2713_8274.owl;14345;8301;27.0;8274;306.44444444444446
/home/ktgroup/Desktop/isa/Datasets/356/e9e63e95-c5a4-4656-b813-950a558fdeb9_Person.owl_functional.owl_1_54_238.owl;469;258;14.0;238;17.0
/home/ktgroup/Desktop/isa/Datasets/356/approximated_51ea88d6-9735-4fe4-84ca-cf425f04f8e2_es20120118.owl_functional.owl_1_105_343.owl;812;426;68.0;343;5.044117647058823
/home/ktgroup/Desktop/isa/Datasets/356/approximated_2ba428a5-ea97-4098-9ab9-0e7716620839_testsl2.owl_functional.owl_1_194_1191.owl;2001;1308;82.0;1191;14.524390243902438
/home/ktgroup/Desktop/isa/Datasets/356/approximated_0662c159-e1c3-461f-9a62-cb423f76ee7a_ulusmerged.owl_functional.owl_1_9615_160491.owl;316428;186950;26329.0;160491;6.0955980097990805
/home/ktgroup/Desktop/isa/Datasets/356/13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_112.owl;219;134;22.0;112;5.090909090909091
/home/ktgroup/Desktop/isa/Datasets/356/approximated_6b102094-efed-4d26-8733-fafde02c9597_CategoryPlugin_functional.owl_1_15_295.owl;626;351;37.0;295;7.972972972972973
/home/ktgroup/Desktop/isa/Datasets/356/approximated_704ec241-bc3f-4020-a587-b87b46fcde06_MWBP.owl_functional.owl_1_17_60.owl;140;67;7.0;60;8.571428571428571
/home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_65.owl;143;68;3.0;65;21.666666666666668
/home/ktgroup/Desktop/isa/Datasets/356/approximated_8f89a31c-fe5f-46b1-9b07-d9dc72b50e03_pban.owl_functional.owl_1_5_406.owl;704;480;74.0;406;5.486486486486487
/home/ktgroup/Desktop/isa/Datasets/356/approximated_4dcce784-b7c8-4820-b3d4-a5880a85fba6_19115codes.owl_functional.owl_1_9_197.owl;453;226;29.0;197;6.793103448275862
/home/ktgroup/Desktop/isa/Datasets/356/356d962d-4302-443a-beca-84a2574f46ef_xamplefull.rdf_functional.owl_1_28_267.owl;543;270;3.0;267;89.0
/home/ktgroup/Desktop/isa/Datasets/356/approximated_b4884d02-8b09-4c5c-928b-4712d54dd237_newsiso8851.owl_functional.owl;1702;1519;171.0;1288;7.5321637426900585
/home/ktgroup/Desktop/isa/Datasets/356/approximated_987dc2ac-8fd8-4387-9524-5a2eb19a939c_OC4.owl_functional.owl_1_1194_18382.owl;34773;21116;1527.0;18382;12.037982973149967
/home/ktgroup/Desktop/isa/Datasets/356/approximated_9ab09734-015e-49fb-9055-10aea827e1d2_a_20110131.owl_functional.owl_1_258_2041.owl;3379;2150;98.0;2041;20.8265306122449
/home/ktgroup/Desktop/isa/Datasets/356/approximated_7176f8d9-aa7d-46a0-b860-f053877b4115_Voigt.rdf_functional.owl_1_1_148.owl;356;176;28.0;148;5.285714285714286
/home/ktgroup/Desktop/isa/Datasets/356/approximated_e9395a8b-50a5-4f78-bbc3-ec8a82c12c06_AMcalculus.owl_functional.owl_1_499_1253.owl;2731;1503;250.0;1253;5.012
/home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_158.owl;283;185;20.0;158;7.9
/home/ktgroup/Desktop/isa/Datasets/356/a5fa762b-9cda-49df-be5b-2386ff07f807_onto.rdf_functional.owl_1_1_120.owl;232;142;22.0;120;5.454545454545454
/home/ktgroup/Desktop/isa/Datasets/356/approximated_a20ae2a2-58b9-4fb9-be1d-040e898ce444_gdbowlizer.owl_functional.owl_1_6_623.owl;1014;741;112.0;623;5.5625
/home/ktgroup/Desktop/isa/Datasets/356/approximated_c9cd7334-1c49-4909-8c82-c8f9727064c5_icrosswalk.owl_functional.owl_1_1_141.owl;337;173;28.0;141;5.035714285714286
/home/ktgroup/Desktop/isa/Datasets/356/approximated_USDA_sr25_NF0_15.owl_functional.owl_1_582_3620.owl;7219;3645;25.0;3620;144.8
/home/ktgroup/Desktop/isa/Datasets/356/aabf4d5f-4834-4bcf-b163-89e5a10af317_blinCore3b.owl_functional.owl_1_9_188.owl;434;251;30.0;188;6.266666666666667
/home/ktgroup/Desktop/isa/Datasets/356/approximated_7176f8d9-aa7d-46a0-b860-f053877b4115_Voigt.rdf_functional.owl_1_1_152.owl;364;180;28.0;152;5.428571428571429
/home/ktgroup/Desktop/isa/Datasets/356/approximated_f716fb06-60dd-4d6f-8406-b2e98f123a60_FN1.45.owl_functional.owl_1_29_676.owl;1497;787;106.0;676;6.377358490566038
/home/ktgroup/Desktop/isa/Datasets/356/approximated_d9c28c57-f925-497d-a7d4-8f0b5a217a37_nica_ideal.owl_functional.owl_1_157_681.owl;1460;788;103.0;681;6.611650485436893
/home/ktgroup/Desktop/isa/Datasets/356/approximated_70c07f2d-cdc2-4cbc-b617-35e0c20ce3a3_Aplicacion.owl_functional.owl_1_559_4943.owl;7543;5179;206.0;4943;23.99514563106796
/home/ktgroup/Desktop/isa/Datasets/356/approximated_fb75cc9c-11b0-40d1-bceb-f3395b82dafd_esg.owl_functional.owl_1_317_3156.owl;4491;3318;124.0;3156;25.451612903225808
/home/ktgroup/Desktop/isa/Datasets/356/approximated_6e432d68-c034-4bee-b4be-a09d8639258d_swadchart.rdf_functional.owl_1_58_507.owl;721;515;8.0;507;63.375
/home/ktgroup/Desktop/isa/Datasets/356/approximated_ced9d741-f06b-4b86-80f2-cedf4d3fad0f_time.owl_functional.owl_1_4_72.owl;144;91;14.0;72;5.142857142857143
/home/ktgroup/Desktop/isa/Datasets/356/approximated_00243.owl_functional.owl_1_187_406.owl;825;411;5.0;406;81.2
/home/ktgroup/Desktop/isa/Datasets/356/96be13bb-63ca-46f1-a747-469a05169061_onLanguage.owl_functional.owl_1_7_31.owl;77;36;5.0;31;6.2
/home/ktgroup/Desktop/isa/Datasets/356/aabf4d5f-4834-4bcf-b163-89e5a10af317_blinCore3b.owl_functional.owl;388;305;30.0;242;8.066666666666666
/home/ktgroup/Desktop/isa/Datasets/356/approximated_USDA_sr25_NF0_5.owl_functional.owl_1_110_896.owl;1985;921;25.0;896;35.84
/home/ktgroup/Desktop/isa/Datasets/356/approximated_18a36f4b-50aa-4c99-b541-572e4848f7a6_test_gcc4.owl_functional.owl_1_597_4890.owl;6674;4970;21.0;4890;232.85714285714286
