OntologyURI;ReasonerCreationTime(ns);MaterializingTime(ns)
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl;207034552;192517909
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_1001.owl;153543389;194386505
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_1024.owl;153400805;181643260
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_1047.owl;152027350;189662188
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_840.owl;155083891;170165537
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_863.owl;155730903;167051899
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_886.owl;157093270;179413643
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_909.owl;160098760;193222076
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_932.owl;153819372;181207269
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_955.owl;154792558;186336407
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_978.owl;161122945;202099444
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl;150561066;68108336
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_101.owl;158403326;68929189
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_20.owl;157747252;56775041
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_29.owl;161201062;61781052
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_38.owl;155573823;55278753
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_47.owl;160963454;64702442
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_56.owl;155690789;65185750
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_65.owl;160970757;54740402
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_74.owl;154700781;69845606
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_83.owl;158995005;53156888
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_92.owl;155491476;64377554
file:////home/ktgroup/Desktop/isa/Datasets/356/00304.owl_functional.owl;156755561;63494975
file:////home/ktgroup/Desktop/isa/Datasets/356/00304.owl_functional.owl_1_3_186.owl;154735320;83706714
file:////home/ktgroup/Desktop/isa/Datasets/356/00304.owl_functional.owl_1_3_189.owl;161230674;68496912
file:////home/ktgroup/Desktop/isa/Datasets/356/00304.owl_functional.owl_1_3_192.owl;155980473;85543687
file:////home/ktgroup/Desktop/isa/Datasets/356/00304.owl_functional.owl_1_3_195.owl;156475282;83426463
file:////home/ktgroup/Desktop/isa/Datasets/356/00304.owl_functional.owl_1_3_198.owl;158761005;75884451
file:////home/ktgroup/Desktop/isa/Datasets/356/00304.owl_functional.owl_1_3_201.owl;154898302;89257495
file:////home/ktgroup/Desktop/isa/Datasets/356/00304.owl_functional.owl_1_3_204.owl;156559409;80434974
file:////home/ktgroup/Desktop/isa/Datasets/356/00304.owl_functional.owl_1_3_207.owl;158103763;84519643
file:////home/ktgroup/Desktop/isa/Datasets/356/00304.owl_functional.owl_1_3_210.owl;160592923;84294943
file:////home/ktgroup/Desktop/isa/Datasets/356/00304.owl_functional.owl_1_3_213.owl;158561741;74495653
file:////home/ktgroup/Desktop/isa/Datasets/356/00304.owl_functional.owl_1_3_216.owl;154012637;77694438
file:////home/ktgroup/Desktop/isa/Datasets/356/00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl;151098618;59316223
file:////home/ktgroup/Desktop/isa/Datasets/356/00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl_1_4_113.owl;162526971;63510619
file:////home/ktgroup/Desktop/isa/Datasets/356/00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl_1_4_117.owl;157320601;71912435
file:////home/ktgroup/Desktop/isa/Datasets/356/00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl_1_4_121.owl;156965847;61575677
file:////home/ktgroup/Desktop/isa/Datasets/356/00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl_1_4_125.owl;155090404;56030295
file:////home/ktgroup/Desktop/isa/Datasets/356/00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl_1_4_129.owl;155210767;69467318
file:////home/ktgroup/Desktop/isa/Datasets/356/00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl_1_4_133.owl;157810095;71250067
file:////home/ktgroup/Desktop/isa/Datasets/356/00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl_1_4_137.owl;160140971;56620379
file:////home/ktgroup/Desktop/isa/Datasets/356/00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl_1_4_141.owl;155598166;59677628
file:////home/ktgroup/Desktop/isa/Datasets/356/00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl_1_4_145.owl;156622999;62888232
file:////home/ktgroup/Desktop/isa/Datasets/356/00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl_1_4_149.owl;156769612;53856109
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl;151224809;66703898
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_121.owl;155378639;61296915
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_144.owl;154769531;68866294
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_167.owl;155118294;68472088
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_190.owl;155595458;73853372
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_213.owl;156650989;66024488
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_29.owl;160186677;53333389
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_52.owl;157750476;51660713
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_6.owl;157788925;55033763
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_75.owl;159129438;60570329
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_98.owl;161720619;52386055
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl;150927876;69244323
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_111.owl;157973503;58974295
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_112.owl;155730699;59247270
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_113.owl;155967439;63242784
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_114.owl;157563333;63637856
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_115.owl;155359023;71226989
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_116.owl;156758644;57839046
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_117.owl;156368328;63358483
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_118.owl;155988666;64376148
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_119.owl;154516172;70424289
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_120.owl;156387468;56260172
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_121.owl;156304679;61057908
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl;149950652;72603255
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_102.owl;155438491;79959004
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_109.owl;155741402;76391255
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_116.owl;157209252;60512363
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_123.owl;156755022;64394568
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_130.owl;156586647;79680179
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_137.owl;159111926;77637637
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_144.owl;160252894;70112222
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_151.owl;156081288;74332530
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_158.owl;158243252;69137940
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_165.owl;157838570;80179544
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_172.owl;159567429;81309044
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl;158982971;560332513
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_10552.owl;160068815;355175661
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_14714.owl;186813834;413777843
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_18876.owl;160735918;429739986
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_2228.owl;152088596;185949726
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_23038.owl;158333239;470624445
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_27200.owl;159084984;483085935
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_31362.owl;158839742;510539580
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_35524.owl;159760212;526427378
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_39686.owl;174486143;548283677
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_6390.owl;150999595;301372665
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl;152806434;179006248
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_1026.owl;157808589;170912780
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_1073.owl;152051061;184939857
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_650.owl;155943314;142766109
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_697.owl;156312862;131566641
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_744.owl;154709256;144844887
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_791.owl;157698351;144114283
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_838.owl;156045718;149348078
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_885.owl;154550583;153173566
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_932.owl;151251172;156511802
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_979.owl;151562539;156995090
file:////home/ktgroup/Desktop/isa/Datasets/356/13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl;151202182;70014950
file:////home/ktgroup/Desktop/isa/Datasets/356/13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_112.owl;156993134;66743631
file:////home/ktgroup/Desktop/isa/Datasets/356/13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_116.owl;156821743;53516547
file:////home/ktgroup/Desktop/isa/Datasets/356/13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_120.owl;158678275;68129642
file:////home/ktgroup/Desktop/isa/Datasets/356/13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_124.owl;155951203;57227251
file:////home/ktgroup/Desktop/isa/Datasets/356/13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_128.owl;155139949;61613450
file:////home/ktgroup/Desktop/isa/Datasets/356/13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_132.owl;157505325;62668110
file:////home/ktgroup/Desktop/isa/Datasets/356/13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_136.owl;159634060;61893419
