OntologyURI;ReasonerCreationTime(ns);MaterializingTime(ns)
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl;95929350;308175150
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_1001.owl;76283838;301901075
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_1024.owl;75288304;294766587
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_1047.owl;75923752;296369607
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_840.owl;74877848;274226514
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_863.owl;75698226;276958932
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_886.owl;73881782;280565005
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_909.owl;76711553;287124589
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_932.owl;74684886;285141950
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_955.owl;79482577;288409624
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_978.owl;78522392;307214217
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl;55967282;79237565
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_101.owl;59539511;78532214
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_20.owl;59520678;58096631
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_29.owl;59918239;58953726
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_38.owl;58137800;62466705
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_47.owl;59316481;62209580
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_56.owl;58958154;65743686
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_65.owl;59062012;67413112
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_74.owl;57887746;69774456
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_83.owl;59920775;72115946
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_92.owl;58546895;75918719
file:////home/ktgroup/Desktop/isa/Datasets/356/00304.owl_functional.owl;59502151;110741197
file:////home/ktgroup/Desktop/isa/Datasets/356/00304.owl_functional.owl_1_3_186.owl;62557091;103801276
