OntologyURI;ReasonerCreationTime(ns);MaterializingTime(ns)
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl;51664763;37563767
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_1001.owl;43859862;34814753
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_1024.owl;41562892;34863424
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_1047.owl;43142043;34766622
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_840.owl;43474558;33686413
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_863.owl;42473385;33659750
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_886.owl;40860991;33374525
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_909.owl;41083232;34587615
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_932.owl;41152842;33937192
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_955.owl;40855060;33871988
file:////home/ktgroup/Desktop/isa/Datasets/356/00143.owl_functional.owl_1_23_978.owl;41049203;35008630
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl;34480756;12480721
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_101.owl;34311562;11526800
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_20.owl;32416541;6915743
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_29.owl;32756258;7424527
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_38.owl;34423840;8004263
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_47.owl;34444710;8594548
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_56.owl;33468410;9206660
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_65.owl;32749588;10278625
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_74.owl;34400600;10449490
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_83.owl;36570392;11465545
file:////home/ktgroup/Desktop/isa/Datasets/356/00147.owl_functional.owl_1_9_92.owl;33698275;11918769
file:////home/ktgroup/Desktop/isa/Datasets/356/00304.owl_functional.owl;38308149;23599986
file:////home/ktgroup/Desktop/isa/Datasets/356/00304.owl_functional.owl_1_3_186.owl;38496447;19756049
file:////home/ktgroup/Desktop/isa/Datasets/356/00304.owl_functional.owl_1_3_189.owl;37016111;20604283
file:////home/ktgroup/Desktop/isa/Datasets/356/00304.owl_functional.owl_1_3_192.owl;37619889;19347562
file:////home/ktgroup/Desktop/isa/Datasets/356/00304.owl_functional.owl_1_3_195.owl;36643455;21257305
file:////home/ktgroup/Desktop/isa/Datasets/356/00304.owl_functional.owl_1_3_198.owl;38012719;19404890
file:////home/ktgroup/Desktop/isa/Datasets/356/00304.owl_functional.owl_1_3_201.owl;36915781;19805223
